Group/Artist,Song,Score,Comment,YT Link,Due March 17th
LED Apple,Run to You,7,2nd gen boy group given instruments. I like the vibe in this song. The back and forth on the vocals work nicely. Rap brings it down though.,https://www.youtube.com/watch?v=eNiLSb2_kL0&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
LED Apple,Let the Wind Blow,6,2nd gen boy group given instruments. Pretty forgettable song. ,https://www.youtube.com/watch?v=fbkixXucdIw&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
LED Apple,Bad Boys,8,2nd gen boy group given instruments. This is actually a bop. Latin pop rock. Really nice after hearing 20 versions of the same song already. ,https://www.youtube.com/watch?v=kGStVZfz2-s&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
LED Apple,With the Wind,9,"2nd gen boy group given instruments. Nice band ballad. I like the melody on the chorus, and his vocals work well here. ",https://www.youtube.com/watch?v=cEKlysjlI3M&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
LED Apple,Overall,6,"I have no idea what happened with their debut, but at least every song since then was a step up. Also hilarious that this is just a 2nd gen boy group that clearly couldn't dance so they just gave a few of them instruments lmao. ",,
Lunafly,Super Hero,5,English lyrics makes this cringier (same song as How Nice Would It Be),https://www.youtube.com/watch?v=SIoe30fatYI&ab_channel=officialLUNAFLY,
Lunafly,How Nice Would It Be,6,OK. ,https://www.youtube.com/watch?v=9uqmAHuU9Y4&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
Lunafly,"Clear Day, Cloudy Day",5,Just a boring ballad with ok vocals. Meh.,https://www.youtube.com/watch?v=Y7tjuadr3Lk&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
Lunafly,Fly To Love,3,This was really bad. Has just enough cheese to save it from a 1,https://www.youtube.com/watch?v=bSD0A6aJyYw&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
Lunafly,Yeowooya,3,"Another super cringe song from them, and they don't sound good. ",https://www.youtube.com/watch?v=9dN_fJIKO8g&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
Lunafly,Stardust,3,Cringe. ,https://www.youtube.com/watch?v=QaQ2gDG0GPs&ab_channel=LalalaLOVEmusicENT4,
Lunafly,Special Guy,4,"Yikes. This wasn't good, and it wasn't improved by the feature either. ",https://www.youtube.com/watch?v=RWMx26y8tzw&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
Lunafly,Quiero Besarte,2,Bad spanish with bad instrumentals. ,https://www.youtube.com/watch?v=j5MnooLl4CY&ab_channel=officialLUNAFLY,
Lunafly,This Isn't You,6,"Vocals are nice, but I'm not engaged with the song at all. ",https://www.youtube.com/watch?v=0aeJ35Gtb68&ab_channel=GENIEMUSIC,
Lunafly,Overall,4,Crimson Chin and friends somehow manage to have many comebacks while sucking in every single one. ,,
FT. Island,Lovesick,6,"Poor Hongki's hair. Decent debut, but they have much better songs later. Also lol at having two songs with the same name. ",https://www.youtube.com/watch?v=gnLwCb8Cz7I&ab_channel=FTISLAND%28FT%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%29,
FT. Island,Thunder,6,Early FT Island. ,https://www.youtube.com/watch?v=_DIympjN8dA&ab_channel=FTISLAND%28FT%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%29,
FT. Island,Until You Come Back,6,Hongki singing sad ballad rock song again. ,https://www.youtube.com/watch?v=MGMw_dICtck&ab_channel=priela,
FT. Island,After Love,7,Angry sad ballad. ,https://www.youtube.com/watch?v=vRqXAhYfK3I&ab_channel=FTISLAND%28FT%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%29,
FT. Island,Heaven,7,"String section is very nice, but apart from that it doesn't do much for me",https://www.youtube.com/watch?v=uniJ2KUljfQ&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,Bad Woman,6,This would have done better if it wasn't just the same line 1000 times. ,https://www.youtube.com/watch?v=2ihrwdXQae8&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,I Hope,6,"A lot of these songs blend into eachother. Hongki vocals still good, but otherwise not much to differentiate the songs. ",https://www.youtube.com/watch?v=JnC5O2s1cvM&ab_channel=KoreanLover54,
FT. Island,Love Letter,6,"Another repetitive, forgetful FT island song. ",https://www.youtube.com/watch?v=rpo31tIYACM&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,Love Love Love,6,"Another repetitive, forgetful FT island song",https://www.youtube.com/watch?v=kWIpynw5cHI&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,Hello Hello,9,"Super catchy chorus, almost nostalgic sounding song. ",https://www.youtube.com/watch?v=itGNQbJwRSk&ab_channel=FTISLAND%28FT%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%29,
FT. Island,Like Birds,6,"Rap parts drag this, and Hongki doesn't sound that good here. Pretty meh. ",https://www.youtube.com/watch?v=IVonGIARJtY&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,Severely,8,Nice band ballad. ,https://www.youtube.com/watch?v=mZJnZD1UbA8&ab_channel=FTISLAND%28FT%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%29,
FT. Island,I Wish,8,"This is a bop, latin influences kinda work here? Chorus is very 00s boy band style. ",https://www.youtube.com/watch?v=3x1gpjO-JYs&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29,
FT. Island,Memory,8,"Hongki is great, carries these songs with his vocals. ",https://www.youtube.com/watch?v=LZrShwp2KVQ&ab_channel=FTISLAND%28FT%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%29,
FT. Island,Madly,8,"Hongki ballad, pretty simple but still pretty effective as he has a great voice. ",https://www.youtube.com/watch?v=IkVjIkWHqLI&ab_channel=FTISLAND%28FT%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%29,
