Month,Group/Artist,Song,Score,Comment,Youtube Link,Rules:,https://docs.google.com/document/d/1fCOUayB2IzAe-MgeLFxAJ3PdbElL-ArnGOlHI-gQH2I/edit?usp=sharing,Song Count:,201
Eight ,"Bryn, Mckdaddy ",Bonnie & Clyde ,6,,https://www.youtube.com/watch?v=7lxnl2h9wPo,,,,
Eight ,"Jjangyou, Yunhway ",Gwangalli 101/ Route 101,7,,https://www.youtube.com/watch?v=0uDUSACQ3W8,,,,
Eight ,Bryn ,Cupid (prod. sAewoo) ft Park Jimin ,6,,https://www.youtube.com/watch?v=8L5zzA-3ycs,,,,
Eight ,Big Naughty ,Problems ft Coogie ,7,,https://www.youtube.com/watch?v=zbBoTPlu1ls,,,,
Eight ,CHOILB ,"When it Rains (prod. illusionsound1, Verbal Jint) ft Suran ",6,,https://www.youtube.com/watch?v=Q-CacS5X6fQ,,,,
Eight ,Young B ,"Sold Out (prod. Doplamingo, Verbal Jint) ft VINXEN",8,,https://www.youtube.com/watch?v=QF5jbQkuD5c,,,,
Eight ,Punchnello ,"MAGMA (prod. Bewhy) ft Hangzoo, Bewhy ",10,,https://www.youtube.com/watch?v=xCFhi1ek1ww,,,,
Eight ,EK ,Diablo ft Justhis ,8,,https://www.youtube.com/watch?v=N5PbOI1IGh8,,,,
Eight ,JJangyou ,Alone,1,,https://www.youtube.com/watch?v=OJMrhwxcs14,,,,
Eight ,Takuwa,Bibbidi Bobbidi Boo/higher (prod. sAewoo) ft Han Yohan,4,,https://www.youtube.com/watch?v=J5P7X80FB0E,,,,
Eight ,Young B ,Boy (prod. Bewhy) ft Bewhy ,9,,https://www.youtube.com/watch?v=7HYrWUJP_7U,,,,
Eight ,Big Naughty ,Phone Number/ 010 ft Giriboy ,8,,https://www.youtube.com/watch?v=LvmZ2ByaFhI,,,,
Eight ,Punchnello ,"Jungle (prod. millic) ft Penomeco, Sam Kim ",6,,https://www.youtube.com/watch?v=BOBpzzlu5tk,,,,
Eight ,Takuwa,"I'm Going/ Far Away (prod. sAewoo) ft Swings, Kid Milli ",4,,https://www.youtube.com/watch?v=ptMT0ZKeOnI,,,,
Eight ,Young B ,No Cap ft Osshun Gum ,6,,https://www.youtube.com/watch?v=-UkbDgDNFcU,,,,
Eight ,Big Naughty ,Astronaut (prod. Oviz) ,2,,https://www.youtube.com/watch?v=YJxjqJjFLtY,,,,
Eight ,Punchnello ,Sorry / Sorry For Being Sorry ft Kwon Jeongyeol ,5,,https://www.youtube.com/watch?v=hZS9Yk108qI,,,,
Eight ,Takuwa,Thank You ft Paloalto ,3,,https://www.youtube.com/watch?v=g7LUYsPzMOo,,,,
Eight ,"Zizo, Layone, Livur ",Icebreaker ,7,,https://www.youtube.com/watch?v=gWlMcBoTMB8,,,,
Eight ,"M1nu, Layone, Veinifyl, Big Naughty",Sick Teen (prod. Grene Man) ,8,,https://www.youtube.com/watch?v=JcKuHXeZ0ls,,,,
Eight ,"Ahn Byungwoong, Chillin Homie, The Quiett ",Let It Burn (prod. The Quiett) ,8,,https://www.youtube.com/watch?v=iS_0FKa0qzQ,,,,
Eight ,N/A,,,,,,,,
Nine ,Justhis,G+Jus Freestyle (prd. Groovyroom) ,5,,https://www.youtube.com/watch?v=yRKrep_Imu8,,,,
